dataset,field_label,total_nb_images,total_selected_lightly,total_annotated,selected_lightly_but_not_annotated,unselected_for_annotation,size_gb
20230616_HerrenpuentSuedwestTestfield_S_20_F_60_H_12_O_sama_ID1,F 51,1728,108,12.0,96.0,1620,10.759742209687827
20230606_TestfieldHerrenpuentNordost_S_20_F_60_H_12_O_sama_ID1,F 52,1696,114,0.0,114.0,1582,11.808089051395656
20230405_Waldegg_S_10_F_10_O_sama_ID1,F 53,1696,92,0.0,92.0,1604,11.377282114699485
20230425_SchneiderWallenwil_S_20_F_50_O_sama_ID2,F 54,1664,273,21.0,252.0,1391,10.406893907114863
20230613_HerrenpuentTestfieldWithMarkers_S_00_F_00_H_12_O_stra_ID1,F 55,1360,106,1.0,105.0,1254,8.59535865765065
20230613_TestfieldHerrenpuentNoMarkers_S_00_F_00_H_12_O_sama_ID1,F 56,1344,134,1.0,133.0,1210,9.001383383758366
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID3,F 57,1232,25,0.0,25.0,1207,8.49268408305943
20230606_TestfieldHerrenpuentNord_S_00_F_00_H_12_O_sama_ID1,F 58,880,103,0.0,103.0,777,6.031610852107406
20230621_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_sama_ID2,F 59,816,179,13.0,166.0,637,5.044001292437315
20230620_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_krma_ID1,F 60,816,207,6.0,201.0,609,5.055852077901363
20230621_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_sama_ID1,F 61,816,180,9.0,171.0,636,5.1089485604316
20230616_TestHerrenpuentSuedwestStreifen1_S_00_F_00_H_12_O_sama_ID1,F 62,688,83,0.0,83.0,605,4.001815153285861
20230620_HerrenpuentSuedwestTestfield_S_00_F_00_H_12_O_krma_ID1,F 63,624,45,6.0,39.0,579,4.030644201673567
20230616_HerrenpuentSuedwestTestfield_S_00_F_00_H_12_O_sama_ID2,F 64,592,43,5.0,38.0,549,3.78500094730407
20230616_TestHerrenpuentSuedwestStreifen2_S_00_F_00_H_12_O_sama_ID2,F 65,384,89,8.0,81.0,295,2.242137821391225
20230616_TestHerrenpuentSuedwestStreifen3_S_00_F_00_H_12_O_sama_ID3,F 66,384,83,0.0,83.0,301,2.397175376303494
20230426_SchneiderWallenwilTest_S_20_F_50_O_sama_ID2,F 67,192,31,0.0,31.0,161,1.3053446970880032
